127.0.0.1 - - [01/Aug/2014:07:32:13 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:32:20 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:32:33 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:32:35 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:32:39 +0530] "GET /Devil666/registration HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:33:28 +0530] "POST /Devil666/registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:33:28 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:33:39 +0530] "POST /Devil666/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:33:39 +0530] "GET /Devil666/home HTTP/1.1" 200 38764
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:34:08 +0530] "GET /Devil666/taketo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:34:08 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:34:13 +0530] "GET /Devil666/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:34:13 +0530] "GET /Devil666/signup HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:34:35 +0530] "POST /Devil666/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:34:35 +0530] "GET /Devil666/home HTTP/1.1" 200 38764
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:34:41 +0530] "POST /Devil666/postback HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Aug/2014:07:34:49 +0530] "POST /Devil666/postback HTTP/1.1" 200 -
